City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Airai,TL,60.8,overcast clouds,-8.9266,125.4092,
1,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Hithadhoo,MV,81.77,broken clouds,-0.6,73.0833,Scoop Guest House
4,Buta,CD,70.93,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
6,Busselton,AU,66.04,few clouds,-33.65,115.3333,Observatory Guest House
11,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
12,Lobatse,BW,66.58,broken clouds,-25.2167,25.6667,Swinburn's Rest
14,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
15,Butaritari,KI,82.67,broken clouds,3.0707,172.7902,Isles Sunset Lodge
20,Rio Gallegos,AR,69.85,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
21,Sungaipenuh,ID,63.34,light rain,-2.0833,101.3833,penginapan citra alam
23,Ilhabela,BR,78.13,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
26,New Norfolk,AU,62.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Bengkulu,ID,72.93,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
28,Kavieng,PG,82.29,broken clouds,-2.5744,150.7967,Nusa Island Retreat
29,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
30,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
31,Bubaque,GW,78.17,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
34,Rikitea,PF,79.09,overcast clouds,-23.1203,-134.9692,People ThankYou
35,Itupiranga,BR,80.92,moderate rain,-5.1347,-49.3267,Hotel Panorama
36,Omboue,GA,77.18,broken clouds,-1.5746,9.2618,Hotel Olako
38,Mayumba,GA,76.6,few clouds,-3.432,10.6554,LIKWALE LODGE
39,Atuona,PF,79.03,clear sky,-9.8,-139.0333,Villa Enata
40,Pacific Grove,US,69.58,clear sky,36.6177,-121.9166,Lovers Point Inn
43,Vaini,TO,76.87,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
45,Shinyanga,TZ,64.45,overcast clouds,-3.6667,33.4333,Dami Hotel
46,Mar Del Plata,AR,64.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,Hilo,US,75.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Taoudenni,ML,71.58,overcast clouds,22.6783,-3.9836,
54,Monte Carmelo,BR,70.75,heavy intensity rain,-18.7247,-47.4986,Park hotel
56,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
57,Namatanai,PG,83.26,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
59,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Chuy,UY,70.03,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
67,Hermanus,ZA,72.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Port Elizabeth,ZA,70.11,scattered clouds,-33.918,25.5701,39 On Nile Guest House
70,Fortuna,US,61.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
72,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
76,Kapaa,US,80.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Colon,PA,89.24,clear sky,9.3592,-79.9014,Sand Diamond Hotel
78,Lorengau,PG,82.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
80,Yulara,AU,69.01,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
83,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
85,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
88,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
90,Beira,MZ,80.51,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
91,Lakes Entrance,AU,66.16,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
94,Tomatlan,MX,83.19,scattered clouds,19.9333,-105.25,El Salvial
97,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
100,Bac Lieu,VN,75.56,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
102,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
103,East London,ZA,69.35,light rain,-33.0153,27.9116,Tu Casa
105,Hobart,AU,63.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
109,Port Alfred,ZA,70.68,overcast clouds,-33.5906,26.891,The Halyards Hotel
110,Lukang,TW,60.44,few clouds,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
114,Salalah,OM,70.21,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
115,Karratha,AU,83.61,broken clouds,-20.7377,116.8463,ibis Styles Karratha
116,Richards Bay,ZA,72.14,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
117,Ancud,CL,70.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
119,Santa Cruz,BO,71.65,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
120,Cidreira,BR,74.91,overcast clouds,-30.1811,-50.2056,Hotel Castelo
122,Benjamin Hill,MX,67.62,clear sky,30.1667,-111.1,Hotel Benjamín Hill
123,Castro,BR,67.98,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
125,San Jose,US,67.53,overcast clouds,37.3394,-121.895,The Westin San Jose
126,Mwense,ZM,65.17,light rain,-10.3845,28.698,Mwense Council Guest House
129,Sibolga,ID,75.09,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
130,Plaza De Caisan,PA,77.95,clear sky,8.7333,-82.8167,Rolando Peralta
131,Laguna,US,68.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
132,Sydney,AU,73.35,few clouds,-33.8679,151.2073,The Grace Sydney
133,Umm Lajj,SA,62.98,clear sky,25.0213,37.2685,Moon light Furnished Units
134,Adre,TD,61.09,clear sky,13.4667,22.2,
137,Sola,VU,82.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
144,Sinazongwe,ZM,71.94,light rain,-17.2614,27.4618,Lakeview Lodge
145,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
146,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
147,Vao,NC,80.08,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
149,Rocha,UY,67.62,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
150,Kokopo,PG,80.29,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
151,Kavaratti,IN,78.08,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
153,Todos Santos,MX,75.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
156,Hue,VN,62.71,broken clouds,16.4667,107.6,Saigon Morin Hotel
158,Lazaro Cardenas,MX,81.21,clear sky,17.9583,-102.2,quinta antigua
160,Port Keats,AU,77.61,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
161,Sidney,AU,73.35,few clouds,-33.8679,151.2073,The Grace Sydney
162,Tucuma,BR,76.37,overcast clouds,-0.1833,-50.05,
164,Merauke,ID,78.53,overcast clouds,-8.4667,140.3333,
166,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
169,Faanui,PF,81.68,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Tefe,BR,82.51,few clouds,-3.3542,-64.7114,Aracati Hotel
173,Tocopilla,CL,71.49,few clouds,-22.092,-70.1979,Hotel Galvarino
174,Lebu,CL,62.2,clear sky,-37.6167,-73.65,Hostal Las Lilas
177,Moramanga,MG,69.76,overcast clouds,-18.9333,48.2,Espace VANILLA
178,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
179,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
180,Najran,SA,64.15,clear sky,17.4924,44.1277,محمد هادي ال فطيح
181,Huarmey,PE,75.25,few clouds,-10.0681,-78.1522,Hotel Miramar
185,Bucerias,MX,76.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
187,Ponta Do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
189,Padang,ID,74.14,overcast clouds,-0.9492,100.3543,Mercure Padang
191,Mitsamiouli,KM,81.82,overcast clouds,-11.3847,43.2844,Foyer ADM
193,Dawei,MM,70.68,broken clouds,14.0833,98.2,Hotel Dawei
194,Necochea,AR,62.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
196,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
197,Singapore,SG,78.66,moderate rain,1.2897,103.8501,The Fullerton Hotel Singapore
203,Coquimbo,CL,65.93,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
205,La Orilla,MX,81.14,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
207,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
209,North Bend,US,60.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
210,Tawau,MY,77.18,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
211,Victoria,HK,60.24,overcast clouds,22.2855,114.1577,Mini Hotel Central
212,Forbes,AU,71.92,clear sky,-33.3833,148.0167,Lake Forbes Motel
213,Buala,SB,83.64,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
217,Sambava,MG,75.49,light rain,-14.2667,50.1667,Melrose
218,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
222,Kisangani,CD,70.9,overcast clouds,0.5167,25.2,Grand Ramela Hotel
223,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
227,Golfito,CR,82.81,scattered clouds,8.639,-83.166,Banana Bay Marina
228,Bredasdorp,ZA,68.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
229,Yaring,TH,77.05,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
230,Codrington,AU,63.64,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
231,Ukiah,US,72.12,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
232,Arraial Do Cabo,BR,77.81,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
237,Joao Pinheiro,BR,73.18,overcast clouds,-17.7425,-46.1725,Hotel Santos
239,Santa Cruz Del Quiche,GT,66.9,overcast clouds,15.0306,-91.1489,Hotel San Andres
241,Kampot,KH,78.85,scattered clouds,10.6167,104.1833,Two Moons Hotel
247,Nuevo San Juan Parangaricutiro,MX,68.18,clear sky,19.4,-102.1333,Hotel Victoria
248,Eldorado,BR,70.27,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
249,Puerto El Triunfo,SV,86.16,clear sky,13.2833,-88.55,Hotel Jardin
251,Prieska,ZA,79.47,clear sky,-29.6641,22.7474,Avenue GuestHouse
252,Terenos,BR,76.71,moderate rain,-20.4422,-54.8603,Rancho Pitzer
253,Tarija,BO,63.1,overcast clouds,-21.5355,-64.7296,Hostal Granny
254,Port Macquarie,AU,66.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
255,Mabopane,ZA,66.45,overcast clouds,-25.4977,28.1007,Wolf Residence
257,Lumphat,KH,70.48,broken clouds,13.4878,106.9816,Lumphat Homestay
258,Cabedelo,BR,80.02,few clouds,-6.9811,-34.8339,Hotel Pigalle
260,Canberra,AU,62.28,broken clouds,-35.2835,149.1281,Novotel Canberra
261,Lompoc,US,76.01,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
262,San Clemente,US,76.82,clear sky,33.427,-117.612,Casablanca Inn
265,Murray Bridge,AU,78.49,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
269,Saldanha,ZA,67.42,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
270,Oranjemund,,66.45,broken clouds,-28.55,16.4333,The Fisherman's Cove
271,Calvinia,ZA,78.57,clear sky,-31.4707,19.776,Die Lemoenhuis
272,Ribeira Grande,PT,60.33,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
274,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
275,Charters Towers,AU,74.75,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
277,Acarau,BR,79.56,few clouds,-2.8856,-40.12,castelo pizzaria
278,Mount Gambier,AU,65.77,broken clouds,-37.8333,140.7667,The Commodore
281,Marsh Harbour,BS,74.07,clear sky,26.5412,-77.0636,Abaco Beach Resort
283,Touba,CI,78.1,clear sky,8.2833,-7.6833,Hotel de L'Amitié Vraie
284,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
286,Bosaso,SO,72.41,broken clouds,11.2842,49.1816,Red Sea Hotel
287,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
289,Esperance,AU,66.27,clear sky,-33.8667,121.9,Hospitality Esperance
293,San Pedro,PH,77.36,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
295,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
296,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
298,Broken Hill,AU,70.47,clear sky,-31.95,141.4333,Royal Exchange Hotel
300,Pueblo Bello,CO,78.71,clear sky,8.2041,-76.526,
302,Nakhon Si Thammarat,TH,79.05,broken clouds,8.25,100.0,ร้านไอซ์โมสีshop
303,Samarai,PG,81.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
305,Port Blair,IN,78.4,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
306,Asosa,ET,61.95,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
308,Auki,SB,82.89,overcast clouds,-8.7676,160.7034,Auki Motel
312,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
313,Chicama,PE,66.74,few clouds,-7.8447,-79.1469,Balihai Bungalows
314,Vila Velha,BR,77.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
315,Kayes,ML,82.27,clear sky,14.0,-11.0,
316,Kaputa,ZM,66.58,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
318,Makaleng,BW,70.3,few clouds,-20.9,27.2833,
319,Sao Felix Do Xingu,BR,77.11,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
322,Santa Marta,CO,89.35,clear sky,11.2408,-74.199,Casa de Isabella
323,Mango,US,62.98,overcast clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
324,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
325,Fonte Boa,BR,76.15,overcast clouds,-2.4959,-66.2662,
327,Luwuk,ID,76.89,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
328,Sokolo,ML,75.06,clear sky,14.7328,-6.1219,
329,Keetmanshoop,,85.75,clear sky,-26.5833,18.1333,Quiver Inn Guesthouse
331,Roebourne,AU,83.34,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
332,San Isidro,PE,73.51,clear sky,-12.1167,-77.05,Soul Mate-Inn
333,Ca Mau,VN,74.68,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
335,Soe,ID,66.24,scattered clouds,-9.8607,124.284,Dena Hotel
339,Carutapera,BR,75.49,overcast clouds,-1.195,-46.02,Lidera
340,Morros,BR,79.11,broken clouds,-9.4467,-46.3003,
343,Bonthe,SL,77.52,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
348,Veraval,IN,64.36,clear sky,20.9,70.3667,Lords Inn Somnath
351,Dekar,BW,71.82,light rain,-21.5333,21.9333,
352,Kotido,UG,73.9,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
355,Maldonado,UY,67.23,broken clouds,-34.6667,-54.9167,La Cimarrona
356,Dingle,PH,74.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
357,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
358,Constitucion,CL,67.78,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
359,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
361,Jinka,ET,67.96,overcast clouds,5.65,36.65,
367,Mocuba,MZ,68.94,few clouds,-16.8392,36.9856,Phama Lodge
368,Kaeng Khoi,TH,77.99,overcast clouds,14.5862,100.9976,ปานปั้นเพลส / PaanPuanPlace
371,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
373,Luderitz,,67.28,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
374,Axim,GH,79.79,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
376,Mahibadhoo,MV,81.19,few clouds,3.7833,72.9667,Omadhoo Inn
378,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
380,Kiunga,PG,73.2,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
381,Poum,NC,80.4,overcast clouds,-20.2333,164.0167,
383,Santa Isabel Do Rio Negro,BR,77.59,moderate rain,-0.4139,-65.0192,Hotel GSA
384,Coruripe,BR,79.7,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
386,Morada Nova,BR,80.82,light rain,-5.1067,-38.3725,PIZZARIA MARIANA
387,Marana,US,68.54,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
388,Sal Rei,CV,68.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
390,Teknaf,BD,61.93,scattered clouds,20.8624,92.3058,Forestry Guesthouse
391,Muisne,EC,80.71,light rain,0.6,-80.0333,Quinta Samay
392,Masuguru,TZ,72.46,overcast clouds,-11.3667,38.4167,
394,Grand Baie,MU,79.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
395,Petatlan,MX,87.6,clear sky,17.5167,-101.2667,Hotel California Petatlán
397,Namibe,AO,73.35,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
398,Ratnagiri,IN,67.5,broken clouds,16.9833,73.3,Hotel Landmark
399,Ahipara,NZ,73.08,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
401,Marakkanam,IN,76.32,broken clouds,12.2,79.95,Samvasa by the Sea
404,Mirpur Sakro,PK,68.22,clear sky,24.5474,67.6277,Ali muhammad’s house
405,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
406,Itarema,BR,79.5,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
407,Singaraja,ID,79.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
409,Shakawe,BW,67.35,light rain,-18.3667,21.85,Ditlhapi Guest House
410,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
411,Latung,PH,81.48,overcast clouds,5.5,120.8833,
414,Port Lincoln,AU,71.69,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
416,Los Llanos De Aridane,ES,62.35,clear sky,28.6585,-17.9182,Valle Aridane
419,Morant Bay,JM,85.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
421,Am Timan,TD,75.27,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
424,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
427,Kroya,ID,77.32,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
430,Lagos,NG,76.68,clear sky,6.5833,3.75,
439,San Quintin,MX,63.0,clear sky,30.4833,-115.95,Don Eddie's Landing
441,Juan Lacaze,UY,66.27,broken clouds,-34.4342,-57.4381,Posada Agreste
442,Siocon,PH,76.62,overcast clouds,7.7061,122.1353,ABS Hotel
445,Sao Filipe,CV,73.15,clear sky,14.8961,-24.4956,Hotel Xaguate
450,Acajutla,SV,85.8,few clouds,13.5928,-89.8275,Laureles
451,Porbandar,IN,66.29,clear sky,21.6422,69.6093,Lords Inn Porbandar
453,Kirakira,SB,83.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
456,Antofagasta,CL,69.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
458,Bundaberg,AU,76.21,few clouds,-24.85,152.35,Takalvan Motel
459,Byron Bay,AU,71.06,light rain,-28.65,153.6167,Backpackers Inn
460,Zamora,EC,76.3,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
470,Tenenkou,ML,73.26,clear sky,14.4572,-4.9169,
471,Badiraguato,MX,79.7,clear sky,25.3667,-107.5167,Restaurante La palma
472,Batemans Bay,AU,66.9,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
476,Jacqueville,CI,82.31,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
480,Viedma,AR,62.47,broken clouds,-40.8135,-62.9967,Hotel Cristal
481,Paita,PE,74.43,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
483,San Vicente,AR,71.35,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
484,Flinders,AU,71.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
487,Makakilo City,US,78.55,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
488,Canto Do Buriti,BR,78.46,scattered clouds,-8.11,-42.9444,Novo Hotel
489,Asbe Teferi,ET,60.21,clear sky,9.0833,40.8667,Megenagna hotel
491,Kandrian,PG,83.23,overcast clouds,-6.2167,149.55,Kandrian Station
492,Panubigan,PH,76.57,broken clouds,7.4281,123.3466,Parish Beach
494,Duiwelskloof,ZA,64.09,broken clouds,-23.6934,30.14,Silvermist Guesthouse
496,Nortelandia,BR,80.38,moderate rain,-14.4547,-56.8028,Hotel Karysmã
498,Bowen,AU,77.23,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
499,Kigoma,TZ,72.66,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
501,Tucurui,BR,75.92,moderate rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
505,Moree,AU,69.82,clear sky,-29.4667,149.85,Molika Springs Motel
506,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
507,Antalaha,MG,74.8,moderate rain,-14.9003,50.2788,Hotel Vitasoa
510,Henties Bay,,66.85,few clouds,-22.116,14.2845,Fishermans Guest House
512,Victor Harbor,AU,78.73,broken clouds,-35.5667,138.6167,McCracken Country Club
513,Neiafu,TO,77.68,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
516,Walvis Bay,,67.08,light rain,-22.9575,14.5053,Oyster Box Guesthouse
519,Guerrero Negro,MX,70.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
520,Mkushi,ZM,60.67,broken clouds,-13.6202,29.3939,Mkushi Police Club
521,Jaisalmer,IN,63.55,clear sky,26.9147,70.9181,Hotel Fifu
522,Caravelas,BR,77.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
523,Ballina,AU,64.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
525,Anloga,GH,81.5,clear sky,5.7947,0.8973,Pin Drop Hotel
529,Ewo,CG,82.17,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
532,Banamba,ML,71.98,clear sky,13.55,-7.45,Kassela de Banamba
536,Kota Belud,MY,76.86,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
538,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
539,Valparaiso,CL,80.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
540,Tagbac,PH,69.1,scattered clouds,7.089,125.1567,Sitio Maupot Family Resort
